case_id,timestamp,analyst_id,severity,alert_type,asset_ip,escalated,time_to_close_mins,resolution_notes
CASE-00753,2026-08-29T16:05:00,SOC-A01,Medium,Policy Violation,10.0.5.10-EMAIL-GW,No,41,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00700,2026-07-05T04:54:00,SOC-A03,Low,Malware Detection,10.0.5.10-EMAIL-GW,No,52,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00052,2026-09-25T17:21:00,SOC-A03,Critical,Lateral Movement,10.0.1.10-WEBSERVER,No,75,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00906,2026-08-27T10:00:00,SOC-A02,High,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,29,Blocked source IP. Alert closed.
CASE-00533,2026-09-13T01:44:00,SOC-A01,High,Lateral Movement,10.0.3.20-PAYMENT-PROC,No,104,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00639,2026-07-05T06:06:00,SOC-A01,Medium,Unauthorized Access,10.0.1.10-WEBSERVER,No,83,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00510,2026-07-26T06:39:00,SOC-A03,High,Data Exfiltration,10.0.5.20-VPN-ENDPOINT,Yes,202,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00508,2026-09-16T22:48:00,SOC-A03,Low,Policy Violation,10.0.4.10-AUTH-SERVER,No,47,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00609,2026-08-06T14:40:00,SOC-A02,Low,Brute Force Attempt,10.0.5.10-EMAIL-GW,No,13,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00594,2026-09-17T10:23:00,SOC-A02,Low,Phishing Email,10.0.4.10-AUTH-SERVER,No,63,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00773,2026-07-21T02:17:00,SOC-A04,High,Lateral Movement,10.0.4.10-AUTH-SERVER,Yes,115,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00690,2026-09-03T03:11:00,SOC-A02,High,Phishing Email,10.0.5.20-VPN-ENDPOINT,Yes,130,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00673,2026-07-31T16:17:00,SOC-A03,High,DDoS Indicator,10.0.5.20-VPN-ENDPOINT,Yes,129,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00006,2026-09-07T03:59:00,SOC-A03,Low,Anomalous Login,10.0.5.10-EMAIL-GW,No,116,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00558,2026-07-17T18:37:00,SOC-A01,Low,Data Exfiltration,10.0.5.20-VPN-ENDPOINT,No,83,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00550,2026-07-06T07:48:00,SOC-A03,Medium,Privilege Escalation,10.0.1.10-WEBSERVER,No,57,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00491,2026-09-11T21:28:00,SOC-A03,Low,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,88,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00119,2026-08-18T12:42:00,SOC-A02,High,Data Exfiltration,10.0.5.20-VPN-ENDPOINT,Yes,156,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00198,2026-09-17T00:57:00,SOC-A02,Low,Data Exfiltration,10.0.3.20-PAYMENT-PROC,No,116,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00736,2026-09-27T18:27:00,SOC-A03,High,Privilege Escalation,10.0.4.10-AUTH-SERVER,No,169,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00304,2026-07-31T06:39:00,SOC-A03,Medium,Unauthorized Access,10.0.6.10-WORKSTATION-POOL,No,44,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00884,2026-08-26T07:00:00,SOC-A03,Critical,Lateral Movement,10.0.4.10-AUTH-SERVER,No,56,Investigated within SLA. Closed.
CASE-00769,2026-07-09T00:26:00,SOC-A04,Low,Privilege Escalation,10.0.1.10-WEBSERVER,No,54,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00323,2026-08-12T14:21:00,SOC-A02,Medium,Phishing Email,10.0.6.10-WORKSTATION-POOL,No,48,Escalated to incident response team. Containment actions initiated.
CASE-00626,2026-08-11T05:40:00,SOC-A01,High,Lateral Movement,10.0.5.20-VPN-ENDPOINT,Yes,94,Escalated to incident response team. Containment actions initiated.
CASE-00861,2026-07-07T09:00:00,SOC-A05,High,DDoS Indicator,10.0.1.20-APPSERVER,No,9,No action required.
CASE-00726,2026-07-22T02:19:00,SOC-A04,Medium,Data Exfiltration,10.0.3.20-PAYMENT-PROC,No,16,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00352,2026-09-17T20:27:00,SOC-A02,Low,Privilege Escalation,10.0.1.20-APPSERVER,No,114,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00694,2026-08-18T17:24:00,SOC-A03,Low,Data Exfiltration,10.0.1.20-APPSERVER,No,82,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00910,2026-08-09T22:00:00,SOC-A02,High,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,30,Blocked source IP. Alert closed.
CASE-00007,2026-09-12T06:45:00,SOC-A02,Low,Lateral Movement,10.0.5.20-VPN-ENDPOINT,No,108,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00193,2026-08-02T01:41:00,SOC-A01,Medium,DDoS Indicator,10.0.3.20-PAYMENT-PROC,No,101,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00405,2026-07-12T10:07:00,SOC-A01,Low,Anomalous Login,10.0.4.10-AUTH-SERVER,No,31,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00302,2026-07-01T17:35:00,SOC-A03,Medium,Lateral Movement,10.0.1.10-WEBSERVER,No,78,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00772,2026-08-07T14:42:00,SOC-A04,Critical,Phishing Email,10.0.5.20-VPN-ENDPOINT,Yes,100,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00279,2026-09-22T11:07:00,SOC-A04,Low,Data Exfiltration,10.0.5.10-EMAIL-GW,No,77,Escalated to incident response team. Containment actions initiated.
CASE-00278,2026-08-18T14:55:00,SOC-A04,Critical,DDoS Indicator,10.0.4.10-AUTH-SERVER,No,50,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00624,2026-07-16T22:15:00,SOC-A02,Low,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,104,Escalated to incident response team. Containment actions initiated.
CASE-00033,2026-07-08T18:47:00,SOC-A03,Medium,Brute Force Attempt,10.0.5.20-VPN-ENDPOINT,No,17,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00805,2026-09-17T14:00:00,SOC-A05,High,Unauthorized Access,10.0.3.20-PAYMENT-PROC,No,2,"Known issue, no action."
CASE-00452,2026-09-03T12:40:00,SOC-A01,Critical,Policy Violation,10.0.5.20-VPN-ENDPOINT,Yes,91,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00638,2026-08-22T20:20:00,SOC-A01,Low,Data Exfiltration,10.0.5.10-EMAIL-GW,No,15,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00399,2026-07-27T14:19:00,SOC-A01,Medium,Data Exfiltration,10.0.6.10-WORKSTATION-POOL,No,21,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00488,2026-09-18T08:56:00,SOC-A03,High,Unauthorized Access,10.0.3.20-PAYMENT-PROC,Yes,76,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00740,2026-07-28T04:56:00,SOC-A01,Medium,Data Exfiltration,10.0.6.10-WORKSTATION-POOL,No,106,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00177,2026-09-14T01:22:00,SOC-A04,Medium,Brute Force Attempt,10.0.3.20-PAYMENT-PROC,No,67,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00388,2026-09-03T21:57:00,SOC-A01,Low,Malware Detection,10.0.1.20-APPSERVER,No,61,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00158,2026-07-14T11:54:00,SOC-A03,Medium,Privilege Escalation,10.0.1.10-WEBSERVER,No,83,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00683,2026-07-21T06:14:00,SOC-A01,Low,Unauthorized Access,10.0.6.10-WORKSTATION-POOL,No,44,Escalated to incident response team. Containment actions initiated.
CASE-00843,2026-08-27T11:00:00,SOC-A05,Medium,Phishing Email,10.0.1.10-WEBSERVER,No,10,No action required.
CASE-00899,2026-09-18T19:00:00,SOC-A01,High,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,39,Blocked source IP. Alert closed.
CASE-00759,2026-08-05T08:00:00,SOC-A02,High,Data Exfiltration,10.0.5.10-EMAIL-GW,No,181,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00904,2026-09-08T17:00:00,SOC-A01,High,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,45,Blocked source IP. Alert closed.
CASE-00191,2026-09-07T07:19:00,SOC-A04,Critical,Anomalous Login,10.0.6.10-WORKSTATION-POOL,Yes,79,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00357,2026-08-27T02:40:00,SOC-A01,High,Lateral Movement,10.0.6.10-WORKSTATION-POOL,No,133,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00104,2026-08-25T23:20:00,SOC-A01,Medium,Anomalous Login,10.0.1.10-WEBSERVER,No,39,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00583,2026-08-31T03:16:00,SOC-A02,Low,Privilege Escalation,10.0.5.20-VPN-ENDPOINT,No,96,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00458,2026-08-08T21:33:00,SOC-A01,High,Phishing Email,10.0.4.10-AUTH-SERVER,No,31,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00608,2026-07-14T08:39:00,SOC-A04,Low,Privilege Escalation,10.0.5.20-VPN-ENDPOINT,No,49,Escalated to incident response team. Containment actions initiated.
CASE-00168,2026-09-03T17:53:00,SOC-A01,Medium,Brute Force Attempt,10.0.3.20-PAYMENT-PROC,No,60,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00714,2026-09-11T23:43:00,SOC-A01,Low,Anomalous Login,10.0.5.10-EMAIL-GW,No,36,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00601,2026-09-25T19:12:00,SOC-A02,Medium,Lateral Movement,10.0.5.20-VPN-ENDPOINT,No,109,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00532,2026-08-10T00:24:00,SOC-A01,Medium,Anomalous Login,10.0.5.10-EMAIL-GW,No,92,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00102,2026-07-08T05:50:00,SOC-A03,Low,Malware Detection,10.0.5.20-VPN-ENDPOINT,No,66,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00002,2026-09-14T13:02:00,SOC-A02,Low,Anomalous Login,10.0.1.20-APPSERVER,No,74,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00005,2026-07-12T12:06:00,SOC-A03,Low,Brute Force Attempt,10.0.3.20-PAYMENT-PROC,No,113,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00521,2026-09-19T19:53:00,SOC-A03,Medium,Phishing Email,10.0.4.10-AUTH-SERVER,No,19,Escalated to incident response team. Containment actions initiated.
CASE-00112,2026-07-04T20:38:00,SOC-A02,High,Brute Force Attempt,10.0.5.20-VPN-ENDPOINT,No,109,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00536,2026-07-02T17:55:00,SOC-A01,Medium,Anomalous Login,10.0.1.10-WEBSERVER,No,10,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00565,2026-09-25T20:27:00,SOC-A01,Medium,DDoS Indicator,10.0.3.20-PAYMENT-PROC,No,99,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00492,2026-08-31T15:07:00,SOC-A01,High,Phishing Email,10.0.4.10-AUTH-SERVER,Yes,46,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00898,2026-09-25T10:00:00,SOC-A01,High,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,24,Blocked source IP. Alert closed.
CASE-00489,2026-08-28T08:53:00,SOC-A04,Low,Unauthorized Access,10.0.6.10-WORKSTATION-POOL,No,112,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00762,2026-09-23T14:46:00,SOC-A03,Medium,Lateral Movement,10.0.1.20-APPSERVER,No,16,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00895,2026-07-18T00:00:00,SOC-A01,High,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,38,Blocked source IP. Alert closed.
CASE-00500,2026-08-16T01:52:00,SOC-A03,Low,Anomalous Login,10.0.4.10-AUTH-SERVER,No,81,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00766,2026-08-25T19:58:00,SOC-A03,Medium,Lateral Movement,10.0.3.20-PAYMENT-PROC,No,44,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00644,2026-07-13T23:14:00,SOC-A02,Medium,Privilege Escalation,10.0.1.20-APPSERVER,No,77,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00208,2026-08-02T01:48:00,SOC-A03,Medium,Brute Force Attempt,10.0.3.20-PAYMENT-PROC,No,120,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00620,2026-07-24T03:18:00,SOC-A04,Low,Brute Force Attempt,10.0.5.20-VPN-ENDPOINT,No,103,Escalated to incident response team. Containment actions initiated.
CASE-00367,2026-07-14T10:23:00,SOC-A04,High,Data Exfiltration,10.0.1.20-APPSERVER,Yes,228,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00524,2026-09-18T16:30:00,SOC-A01,Critical,Phishing Email,10.0.6.10-WORKSTATION-POOL,No,59,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00894,2026-09-01T15:00:00,SOC-A01,High,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,35,Blocked source IP. Alert closed.
CASE-00823,2026-07-31T17:00:00,SOC-A05,High,Policy Violation,10.0.6.10-WORKSTATION-POOL,No,2,No action required.
CASE-00160,2026-07-24T08:44:00,SOC-A03,High,Data Exfiltration,10.0.3.20-PAYMENT-PROC,Yes,31,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00727,2026-08-30T21:03:00,SOC-A01,Low,Unauthorized Access,10.0.1.10-WEBSERVER,No,64,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00172,2026-09-06T02:25:00,SOC-A03,High,Data Exfiltration,10.0.5.20-VPN-ENDPOINT,Yes,86,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00537,2026-09-07T17:05:00,SOC-A03,Low,Unauthorized Access,10.0.5.20-VPN-ENDPOINT,No,37,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00738,2026-08-11T17:06:00,SOC-A03,High,Anomalous Login,10.0.1.20-APPSERVER,Yes,133,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00186,2026-09-21T21:27:00,SOC-A03,Medium,Data Exfiltration,10.0.1.10-WEBSERVER,No,49,Escalated to incident response team. Containment actions initiated.
CASE-00151,2026-07-09T04:17:00,SOC-A03,Medium,Anomalous Login,10.0.5.10-EMAIL-GW,No,58,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00081,2026-07-02T13:52:00,SOC-A03,Medium,Policy Violation,10.0.4.10-AUTH-SERVER,No,91,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00283,2026-07-06T12:28:00,SOC-A01,Low,DDoS Indicator,10.0.1.20-APPSERVER,No,27,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00716,2026-09-12T19:24:00,SOC-A03,Low,Phishing Email,10.0.1.10-WEBSERVER,No,100,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00225,2026-08-27T14:43:00,SOC-A02,Medium,Data Exfiltration,10.0.1.20-APPSERVER,No,108,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00855,2026-08-03T09:00:00,SOC-A05,High,Malware Detection,10.0.3.10-SWIFT-GATEWAY,No,7,No action required.
CASE-00482,2026-08-06T03:50:00,SOC-A02,Low,Lateral Movement,10.0.1.20-APPSERVER,No,109,Escalated to incident response team. Containment actions initiated.
CASE-00012,2026-07-28T20:31:00,SOC-A04,Low,Lateral Movement,10.0.5.20-VPN-ENDPOINT,No,28,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00375,2026-07-10T00:37:00,SOC-A02,Low,Brute Force Attempt,10.0.3.20-PAYMENT-PROC,No,15,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00427,2026-07-05T09:01:00,SOC-A01,Low,Data Exfiltration,10.0.1.10-WEBSERVER,No,53,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00355,2026-08-05T20:08:00,SOC-A02,High,Phishing Email,10.0.1.20-APPSERVER,No,67,Escalated to incident response team. Containment actions initiated.
CASE-00237,2026-09-04T14:31:00,SOC-A01,High,DDoS Indicator,10.0.4.10-AUTH-SERVER,Yes,53,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00059,2026-09-25T06:32:00,SOC-A02,Medium,Malware Detection,10.0.6.10-WORKSTATION-POOL,No,94,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00636,2026-09-18T11:49:00,SOC-A01,Medium,DDoS Indicator,10.0.3.20-PAYMENT-PROC,No,94,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00703,2026-09-09T02:18:00,SOC-A03,Medium,DDoS Indicator,10.0.1.10-WEBSERVER,No,52,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00368,2026-09-06T18:00:00,SOC-A04,Medium,Privilege Escalation,10.0.1.20-APPSERVER,No,54,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00359,2026-07-09T17:25:00,SOC-A02,Low,Lateral Movement,10.0.4.10-AUTH-SERVER,No,73,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00505,2026-08-27T14:42:00,SOC-A02,Medium,Brute Force Attempt,10.0.5.10-EMAIL-GW,No,73,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00493,2026-09-25T16:49:00,SOC-A02,High,DDoS Indicator,10.0.5.20-VPN-ENDPOINT,Yes,201,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00296,2026-09-11T07:47:00,SOC-A04,Low,Data Exfiltration,10.0.3.20-PAYMENT-PROC,No,47,Escalated to incident response team. Containment actions initiated.
CASE-00382,2026-08-04T23:56:00,SOC-A03,Low,Unauthorized Access,10.0.1.10-WEBSERVER,No,113,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00540,2026-09-13T15:21:00,SOC-A02,Low,Lateral Movement,10.0.5.20-VPN-ENDPOINT,No,22,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00518,2026-07-25T09:28:00,SOC-A01,Low,Data Exfiltration,10.0.5.20-VPN-ENDPOINT,No,33,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00634,2026-09-08T11:20:00,SOC-A02,High,Data Exfiltration,10.0.3.20-PAYMENT-PROC,No,47,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00648,2026-09-16T07:36:00,SOC-A03,Medium,Policy Violation,10.0.4.10-AUTH-SERVER,No,56,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00666,2026-08-27T15:01:00,SOC-A02,Low,DDoS Indicator,10.0.5.20-VPN-ENDPOINT,No,36,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00495,2026-07-02T20:59:00,SOC-A04,Low,Policy Violation,10.0.6.10-WORKSTATION-POOL,No,119,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00386,2026-08-16T12:58:00,SOC-A01,Low,Unauthorized Access,10.0.6.10-WORKSTATION-POOL,No,80,Escalated to incident response team. Containment actions initiated.
CASE-00840,2026-09-08T16:00:00,SOC-A05,Critical,Lateral Movement,10.0.5.10-EMAIL-GW,No,3,No action required.
CASE-00903,2026-08-03T17:00:00,SOC-A02,High,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,40,Blocked source IP. Alert closed.
CASE-00301,2026-09-03T14:23:00,SOC-A04,Low,Policy Violation,10.0.5.20-VPN-ENDPOINT,No,94,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00614,2026-09-07T00:44:00,SOC-A04,Critical,Unauthorized Access,10.0.6.10-WORKSTATION-POOL,Yes,106,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00128,2026-07-10T14:22:00,SOC-A04,Critical,Policy Violation,10.0.3.20-PAYMENT-PROC,Yes,206,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00284,2026-07-30T23:36:00,SOC-A03,Low,Lateral Movement,10.0.5.10-EMAIL-GW,No,40,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00461,2026-07-08T19:25:00,SOC-A02,Medium,Brute Force Attempt,10.0.5.20-VPN-ENDPOINT,No,102,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00430,2026-07-27T06:26:00,SOC-A03,Medium,Lateral Movement,10.0.5.20-VPN-ENDPOINT,No,94,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00737,2026-09-23T21:04:00,SOC-A04,High,Anomalous Login,10.0.5.20-VPN-ENDPOINT,No,59,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00739,2026-09-26T19:49:00,SOC-A04,High,Brute Force Attempt,10.0.3.20-PAYMENT-PROC,No,195,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00041,2026-09-23T03:56:00,SOC-A01,Low,DDoS Indicator,10.0.1.10-WEBSERVER,No,105,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00420,2026-07-29T21:37:00,SOC-A03,High,Lateral Movement,10.0.4.10-AUTH-SERVER,No,217,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00589,2026-08-31T11:39:00,SOC-A03,Low,Data Exfiltration,10.0.5.10-EMAIL-GW,No,72,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00656,2026-08-10T17:36:00,SOC-A02,Low,Brute Force Attempt,10.0.5.10-EMAIL-GW,No,29,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00043,2026-08-02T01:05:00,SOC-A03,Medium,Brute Force Attempt,10.0.6.10-WORKSTATION-POOL,No,15,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00530,2026-08-28T22:21:00,SOC-A01,Low,Lateral Movement,10.0.1.10-WEBSERVER,No,32,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00448,2026-08-11T08:46:00,SOC-A01,Medium,Policy Violation,10.0.5.20-VPN-ENDPOINT,No,34,Escalated to incident response team. Containment actions initiated.
CASE-00418,2026-07-10T11:45:00,SOC-A01,Critical,Phishing Email,10.0.4.10-AUTH-SERVER,Yes,116,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00080,2026-09-11T01:22:00,SOC-A03,Medium,DDoS Indicator,10.0.5.20-VPN-ENDPOINT,No,18,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00697,2026-09-02T15:34:00,SOC-A04,High,Anomalous Login,10.0.5.10-EMAIL-GW,Yes,90,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00238,2026-07-31T06:37:00,SOC-A03,Low,Anomalous Login,10.0.1.10-WEBSERVER,No,73,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00557,2026-09-25T15:30:00,SOC-A04,Low,Privilege Escalation,10.0.1.20-APPSERVER,No,12,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00315,2026-09-20T04:47:00,SOC-A01,Low,Brute Force Attempt,10.0.3.20-PAYMENT-PROC,No,21,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00625,2026-08-28T23:49:00,SOC-A02,Low,Unauthorized Access,10.0.5.20-VPN-ENDPOINT,No,70,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00339,2026-09-12T03:51:00,SOC-A03,High,Policy Violation,10.0.1.20-APPSERVER,Yes,113,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00777,2026-09-22T20:00:00,SOC-A04,Critical,Phishing Email,10.0.5.20-VPN-ENDPOINT,Yes,98,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00223,2026-08-29T17:08:00,SOC-A01,Medium,Unauthorized Access,10.0.1.10-WEBSERVER,No,49,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00096,2026-07-11T07:07:00,SOC-A02,Medium,DDoS Indicator,10.0.4.10-AUTH-SERVER,No,109,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00652,2026-07-30T08:51:00,SOC-A04,Low,Privilege Escalation,10.0.5.10-EMAIL-GW,No,82,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00499,2026-07-12T19:39:00,SOC-A02,Medium,Policy Violation,10.0.5.10-EMAIL-GW,No,93,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00909,2026-07-22T15:00:00,SOC-A02,High,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,19,Blocked source IP. Alert closed.
CASE-00217,2026-09-06T11:25:00,SOC-A02,Low,Brute Force Attempt,10.0.3.20-PAYMENT-PROC,No,24,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00396,2026-08-07T08:54:00,SOC-A04,Low,Phishing Email,10.0.6.10-WORKSTATION-POOL,No,99,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00611,2026-09-14T19:29:00,SOC-A04,Medium,DDoS Indicator,10.0.5.20-VPN-ENDPOINT,No,77,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00686,2026-08-10T12:39:00,SOC-A01,Critical,Policy Violation,10.0.5.10-EMAIL-GW,Yes,163,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00913,2026-09-12T15:00:00,SOC-A02,High,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,32,Blocked source IP. Alert closed.
